CurrentDate|ActivityGroup|NikeIncTeam|RetailerId|RetailerName|RetailerDivisionName|StoreNumber|LocationPK|StoreName|EnglishLanguageAddressLine1|EnglishLanguageAddressLine2|EnglishLanguageAddressLine3|EnglishLanguageAddressCity|EnglishLanguageAddressState|EnglishLanguageAddressPostalCode|EnglishLanguageAddressCountry|EnglishLanguageAddressRegion|EnglishLanguageAddressCounty|EnglishLanguageAddressArea|EnglishLanguageAddressProvince|EnglishLanguageStoreRank|EnglishLanguageStoreType|EnglishLanguageDemographic|EnglishLanguageClimate|EnglishLanguageCompStoreInd|EnglishLanguageBBG|EnglishLanguageChannel|LocalLanguageAddressLine1|LocalLanguageAddressLine2|LocalLanguageAddressLine3|LocalLanguageAddressCity|LocalLanguageAddressState|LocalLanguageAddressPostalCode|LocalLanguageAddressCountry|LocalLanguageAddressRegion|LocalLanguageAddressCounty|LocalLanguageAddressArea|LocalLanguageAddressProvince|LocalLanguageStoreRank|LocalLanguageStoreType|LocalLanguageDemographic|LocalLanguageClimate|LocalLanguageCompStoreInd|LocalLanguageInternationalStoreName|LocalLanguageBBG|LocalLanguageChannel|PhoneNumber|OpenDate|CloseDate|SquareFeet|POSId
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS KID DEPT BEST|005048340|-2146097597|KID LOTTE JAMSIL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Feb 14 2012 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS LOTTE DCOM|005041596|-2146097596|EUNSEONG SPORTS LOTTE DCOM|SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||||Jun 21 2010 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS LOTTE WCOM|005042837|-2146097595|WCOM LOTTE.COM|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Dec 15 2010 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS LOTTEPREMIUM D|005048470|-2146097594|EUNSEONG SPORTS LOTTEPREMIUM D|SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||||Feb 27 2012 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS LOTTEPREMIUM W|005048471|-2146097593|WCOM LOTTE PREMIUM MALL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Feb 27 2012 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS LOTTEIMALL DCOM|005041597|-2146097592|EUNSEONG SPORTS LOTTEIMALL DCOM|SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||SONGPA-GU SONGPA-DAERO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||||Jun 21 2010 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS LOTTEIMALL WCOM|005042838|-2146097591|WCOM LOTTEIMALL.COM|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Dec 15 2010 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|GEOMA|005048797|-2146097590|GEOMA|SONGPA-GU MACHEON-DONG|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||SONGPA-GU MACHEON-DONG|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||||Mar 27 2012 12:00AM|Dec 18 2014 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|GEOMA|005048798|-2146097589|GEOMA|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NOS STRATEGIC ACCT|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NOS STRATEGIC ACCT|||||0||||||||Mar 27 2012 12:00AM|Dec 18 2014 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|GWANGMIN SPORTS|005048795|-2146097588|GWANGMIN SPORTS|GANGDONG-GU YANGJAEDAE-RO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||GANGDONG-GU YANGJAEDAE-RO|||SEOUL||000-000||NOS STRATEGIC ACCT|||||0||||||||Mar 27 2012 12:00AM|||
